"Pickup Date","Return Date","Country","Location","Title","Sit","Limit","Price per day","Total Price","Toll pass"
"2024-04-01","2025-04-01","US","Albuquerque Int Airport","Compact (Nissan Versa)","5","Incl. 26,071 miles","$ 36.50","$ 13,321.19",""
"2024-04-01","2025-04-01","US","Albuquerque Int Airport","Midsize (Nissan Sentra)","5","Incl. 26,071 miles","$ 36.73","$ 13,406.35",""
"2024-04-01","2025-04-01","US","Albuquerque Int Airport","Standard (Toyota Corolla)","5","Incl. 26,071 miles","$ 36.95","$ 13,488.41",""
"2024-04-01","2025-04-01","US","Albuquerque Int Airport","Full-size (Toyota Camry)","5","Incl. 26,071 miles","$ 37.17","$ 13,565.87",""
"2024-04-01","2025-04-01","US","Albuquerque Int Airport","Compact (Chevrolet Trailblazer)","5","Incl. 26,071 miles","$ 38.40","$ 14,017.26",""
"2024-04-01","2025-04-01","US","Albuquerque Int Airport","Midsize (Toyota RAV4)","5","Incl. 26,071 miles","$ 39.96","$ 14,584.76",""
"2024-04-01","2025-04-01","US","Albuquerque Int Airport","Premium (BMW 2 Series)","5","Incl. 26,071 miles","$ 41.51","$ 15,150.64",""
"2024-04-01","2025-04-01","US","Albuquerque Int Airport","Luxury (BMW 3 Series)","5","Incl. 26,071 miles","$ 43.23","$ 15,778.03",""
"2024-04-01","2025-04-01","US","Albuquerque Int Airport","Standard (Chevrolet Blazer)","5","Incl. 26,071 miles","$ 46.40","$ 16,937.21",""
"2024-04-01","2025-04-01","US","Albuquerque Int Airport","Premium (BMW X1)","5","Incl. 26,071 miles","$ 47.77","$ 17,434.41",""
"2024-04-01","2025-04-01","US","Albuquerque Int Airport","Standard Elite (GMC Acadia)","7","Incl. 26,071 miles","$ 48.60","$ 17,738.31",""
"2024-04-01","2025-04-01","US","Albuquerque Int Airport","Luxury (BMW X3)","5","Incl. 26,071 miles","$ 49.28","$ 17,987.09",""
"2024-04-01","2025-04-01","US","Albuquerque Int Airport","Extraordinary (BMW X5)","5","Incl. 26,071 miles","$ 53.64","$ 19,579.19",""
"2024-04-01","2025-04-01","US","Albuquerque Int Airport","Minivan (Chrysler Pacifica)","7","Incl. 26,071 miles","$ 57.55","$ 21,004.10",""
"2024-04-01","2025-04-01","US","Phoenix Int Airport","Compact (Nissan Versa)","5","Incl. 26,071 miles","$ 54.87","$ 20,028",""
"2024-04-01","2025-04-01","US","Phoenix Int Airport","Midsize (Nissan Sentra)","5","Incl. 26,071 miles","$ 55.23","$ 20,158.49",""
"2024-04-01","2025-04-01","US","Phoenix Int Airport","Standard (Toyota Corolla)","5","Incl. 26,071 miles","$ 55.57","$ 20,284.41",""
"2024-04-01","2025-04-01","US","Phoenix Int Airport","Full-size (Toyota Camry)","5","Incl. 26,071 miles","$ 55.90","$ 20,403.04",""
"2024-04-01","2025-04-01","US","Phoenix Int Airport","Compact (Chevrolet Trailblazer)","5","Incl. 26,071 miles","$ 57.79","$ 21,094.93",""
"2024-04-01","2025-04-01","US","Phoenix Int Airport","Standard (Chevrolet Camaro Coupe)","4","Incl. 26,071 miles","$ 58.84","$ 21,477.25",""
"2024-04-01","2025-04-01","US","Phoenix Int Airport","Midsize (Toyota RAV4)","5","Incl. 26,071 miles","$ 60.18","$ 21,964.84",""
"2024-04-01","2025-04-01","US","Phoenix Int Airport","Standard (Toyota Tacoma)","5","Incl. 26,071 miles","$ 60.27","$ 21,996.82",""
"2024-04-01","2025-04-01","US","Phoenix Int Airport","Premium (BMW 2 Series)","5","Incl. 26,071 miles","$ 62.55","$ 22,832.57",""
"2024-04-01","2025-04-01","US","Phoenix Int Airport","Luxury (BMW 3 Series)","5","Incl. 26,071 miles","$ 65.19","$ 23,794.21",""
"2024-04-01","2025-04-01","US","Phoenix Int Airport","Compact (MINI Cooper Convertible)","4","Incl. 26,071 miles","$ 65.66","$ 23,966",""
